lsu	LSU	Tigers	LSUfootball	SEC	Louisiana State
marshall	Marshall	Thundering Herd	HerdFB	SBC	
maryland	Maryland	Terrapins	TerpsFootball	B1G	UMD;Terps
massachusetts	Massachusetts	Minutemen	UMassFootball	MAC	UMass
memphis	Memphis	Tigers	MemphisFB	AAC	U of M
miami	Miami	Hurricanes	CanesFootball	ACC	Miami FL;The U;UM
miami-oh	Miami (OH)	RedHawks	MiamiOHFootball	MAC	Miami Ohio
michigan	Michigan	Wolverines	UMichFootball	B1G	U-M;UM Wolverines
michigan-state	Michigan State	Spartans	MSU_Football	B1G	MSU;Sparty
middle-tennessee	Middle Tennessee	Blue Raiders	MT_FB	CUSA	MTSU;Middle Tennessee State
minnesota	Minnesota	Golden Gophers	GopherFootball	B1G	UMN;Gophers
mississippi-state	Mississippi State	Bulldogs	HailStateFB	SEC	MSU Bulldogs;Miss State
missouri	Missouri	Tigers	MizzouFootball	SEC	Mizzou
missouri-state	Missouri State	Bears	MSUBearsFB	CUSA	Mo State
navy	Navy	Midshipmen	NavyFB	AAC	Naval Academy
nc-state	NC State	Wolfpack	PackFootball	ACC	North Carolina State;NCSU;Wolfpack
nebraska	Nebraska	Cornhuskers	HuskerFBNation	B1G	Huskers;NU
nevada	Nevada	Wolf Pack	NevadaFootball	MW	UNR
new-mexico	New Mexico	Lobos	UNMLoboFB	MW	UNM
new-mexico-state	New Mexico State	Aggies	NMStateFootball	CUSA	NMSU
north-carolina	North Carolina	Tar Heels	TarHeelFootball	ACC	UNC
north-texas	North Texas	Mean Green	MeanGreenFB	AAC	UNT
northern-illinois	Northern Illinois	Huskies	NIU_Football	MAC	NIU
northwestern	Northwestern	Wildcats	NUFBFamily	B1G	NU Wildcats
notre-dame	Notre Dame	Fighting Irish	NDFootball	IND	ND;Irish
ohio	Ohio	Bobcats	OhioFootball	MAC	Ohio U;OU Bobcats
ohio-state	Ohio State	Buckeyes	OhioStateFB	B1G	OSU;tOSU;Buckeyes
oklahoma	Oklahoma	Sooners	OU_Football	SEC	OU;Sooners
oklahoma-state	Oklahoma State	Cowboys	CowboyFB	B12	OSU Cowboys;Ok State
old-dominion	Old Dominion	Monarchs	ODUFootball	SBC	ODU
ole-miss	Ole Miss	Rebels	OleMissFB	SEC	Mississippi;Rebels
oregon	Oregon	Ducks	oregonfootball	B1G	UO;Ducks
oregon-state	Oregon State	Beavers	BeaverFootball	PAC	OSU Beavers;Ore State
penn-state	Penn State	Nittany Lions	PennStateFball	B1G	PSU
pittsburgh	Pittsburgh	Panthers	Pitt_FB	ACC	Pitt
purdue	Purdue	Boilermakers	BoilerFootball	B1G	
rice	Rice	Owls	RiceFootball	AAC	
rutgers	Rutgers	Scarlet Knights	RFootball	B1G	RU
sam-houston	Sam Houston	Bearkats	BearkatsFB	CUSA	Sam Houston State;SHSU
san-diego-state	San Diego State	Aztecs	AztecFB	MW	SDSU
san-jose-state	San Jose State	Spartans	SanJoseStateFB	MW	SJSU
smu	SMU	Mustangs	SMUFB	ACC	Southern Methodist
south-alabama	South Alabama	Jaguars	WeAreSouth_FB	SBC	USA Jaguars
south-carolina	South Carolina	Gamecocks	GamecockFB	SEC	USC Gamecocks;SC
south-florida	South Florida	Bulls	USFFootball	AAC	USF
southern-miss	Southern Miss	Golden Eagles	SouthernMissFB	SBC	USM;Southern Mississippi
stanford	Stanford	Cardinal	StanfordFball	ACC	
syracuse	Syracuse	Orange	CuseFootball	ACC	Cuse
tcu	TCU	Horned Frogs	TCUFootball	B12	Texas Christian
temple	Temple	Owls	Temple_FB	AAC	TU
tennessee	Tennessee	Volunteers	Vol_Football	SEC	UT;Vols
texas	Texas	Longhorns	TexasFootball	SEC	UT Austin;Horns
texas-am	Texas A&M	Aggies	AggieFootball	SEC	A&M;TAMU;Texas AM
texas-state	Texas State	Bobcats	TXSTATEFOOTBALL	SBC	TXST
texas-tech	Texas Tech	Red Raiders	TexasTechFB	B12	TTU;Tech
toledo	Toledo	Rockets	ToledoFB	MAC	UT Rockets
troy	Troy	Trojans	TroyTrojansFB	SBC	
tulane	Tulane	Green Wave	GreenWaveFB	AAC	
tulsa	Tulsa	Golden Hurricane	TulsaFootball	AAC	TU Tulsa
uab	UAB	Blazers	UAB_FB	AAC	Alabama-Birmingham
ucf	UCF	Knights	UCF_Football	B12	Central Florida
ucla	UCLA	Bruins	UCLAFootball	B1G	
uconn	UConn	Huskies	UConnFootball	IND	Connecticut
unlv	UNLV	Rebels	unlvfootball	MW	Nevada-Las Vegas
usc	USC	Trojans	uscfb	B1G	Southern Cal;Southern California
utah	Utah	Utes	Utah_Football	B12	U of U
utah-state	Utah State	Aggies	USUFootball	MW	USU
utep	UTEP	Miners	UTEPFB	CUSA	Texas-El Paso
utsa	UTSA	Roadrunners	UTSAFTBL	AAC	Texas-San Antonio
vanderbilt	Vanderbilt	Commodores	VandyFootball	SEC	Vandy
virginia	Virginia	Cavaliers	UVAFootball	ACC	UVA;Cavs
virginia-tech	Virginia Tech	Hokies	HokiesFB	ACC	VT;Va Tech
wake-forest	Wake Forest	Demon Deacons	WakeFB	ACC	Wake
washington	Washington	Huskies	UW_Football	B1G	UW;U-Dub
washington-state	Washington State	Cougars	WSUCougarFB	PAC	WSU;Wazzu
west-virginia	West Virginia	Mountaineers	WVUfootball	B12	WVU
western-kentucky	Western Kentucky	Hilltoppers	WKUFootball	CUSA	WKU
western-michigan	Western Michigan	Broncos	WMU_Football	MAC	WMU
wisconsin	Wisconsin	Badgers	BadgerFootball	B1G	UW Badgers
wyoming	Wyoming	Cowboys	wyo_football	MW	UW Cowboys
